CustomerID,Recency,Frequency,Monetary,Category_Clocks,Category_Furniture & Decor,Category_Garden,Category_Home Decor,Category_Kids,Category_Kitchen,Category_Lighting,Category_Other,Category_Photo & Frames,Category_Seasonal,Category_Stationery,Category_Storage & Bags,Category_Textile,KMeans_Cluster,DBSCAN_Cluster,CLV,GMM_Cluster,Max_Probability,Churn,Churn_Probability,Retention_Action
12346.0,326,12,77556.46,False,False,False,False,False,False,False,True,False,False,False,False,False,0,-1,11168130.24,0,1.0,1,0.99,VIP_RETENTION
12347.0,2,8,4921.53,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,472466.88,0,1.0,0,0.0,VIP_RETENTION
12348.0,75,5,2019.3999999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,121164.0,0,1.0,0,0.0,VIP_RETENTION
12349.0,19,4,4428.6900000000005,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,212577.12000000002,0,1.0,0,0.0,VIP_RETENTION
12350.0,310,1,334.40000000000003,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,4012.8,0,1.0,1,1.0,WINBACK_CAMPAIGN
12351.0,375,1,300.93,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,3611.16,0,1.0,1,1.0,WINBACK_CAMPAIGN
12352.0,36,10,2849.84,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,341980.80000000005,0,1.0,0,0.0,VIP_RETENTION
12353.0,204,2,406.76,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,9762.24,0,1.0,1,1.0,WINBACK_CAMPAIGN
12354.0,232,1,1079.4,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,12952.800000000001,0,1.0,1,1.0,WINBACK_CAMPAIGN
12355.0,214,2,947.61,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,22742.64,0,1.0,1,1.0,WINBACK_CAMPAIGN
12356.0,23,6,6371.7300000000005,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,458764.56000000006,0,1.0,0,0.01,VIP_RETENTION
12357.0,33,3,18287.66,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,658355.76,0,1.0,0,0.0,VIP_RETENTION
12358.0,2,5,3887.07,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,233224.2,0,1.0,0,0.01,VIP_RETENTION
12359.0,58,10,8873.39,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,1064806.7999999998,0,1.0,0,0.01,VIP_RETENTION
12360.0,52,8,4252.89,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,408277.44000000006,0,1.0,0,0.0,VIP_RETENTION
12361.0,287,4,511.25,False,False,False,False,False,False,False,False,False,False,False,True,False,3,1,24540.0,3,1.0,1,0.99,WINBACK_CAMPAIGN
12362.0,3,11,5356.2300000000005,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,707022.3600000001,0,1.0,0,0.0,VIP_RETENTION
12363.0,110,2,552.0,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,13248.0,0,1.0,1,1.0,REENGAGEMENT
12364.0,8,4,1313.1,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,63028.799999999996,0,1.0,0,0.01,VIP_RETENTION
12365.0,291,2,641.38,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,15393.119999999999,0,1.0,1,1.0,WINBACK_CAMPAIGN
12366.0,634,1,500.24,False,True,False,False,False,False,False,False,False,False,False,False,False,8,2,6002.88,8,1.0,1,0.97,WINBACK_CAMPAIGN
12367.0,4,1,168.9,False,False,False,False,False,False,False,False,False,False,False,True,False,3,1,2026.8000000000002,3,1.0,0,0.01,REENGAGEMENT
12368.0,628,1,917.7,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0,11012.400000000001,0,1.0,1,0.99,WINBACK_CAMPAIGN
